Gene ID,Gene Name,Group,Constraint p-value,Pathogenicity p-value,pLoF p-value,Unified Model p-value,Epi25 p-value
ENSG00000008394,MGST1,DEE,0.8794067290158754,0.605598698885235,0.0194623950065209,0.1267642920092603,
ENSG00000008405,CRY1,DEE,0.0118277367725755,0.473480746614954,0.4998147458289296,0.0685205091241577,
ENSG00000008438,PGLYRP1,DEE,0.9375066426016192,0.9435501929450748,0.5664056895861385,0.9494659253179362,
ENSG00000008441,NFIX,DEE,0.4929132073498733,0.6485211403079512,0.3045858093069539,0.6193612578202818,0.2273
ENSG00000008513,ST3GAL1,DEE,0.097661455986168,0.3247433306838473,0.0911742513666205,0.1110977296694833,
ENSG00000008516,MMP25,DEE,0.8576835864888133,0.9841500355491384,0.9077497659047546,0.997183065266338,
ENSG00000008517,IL32,DEE,0.8681692945149914,0.9185672925093205,0.6919585233524721,0.9782599757549126,
ENSG00000008710,PKD1,DEE,0.988959947143612,0.1064424257956576,0.724496324046653,0.4310763998478385,
ENSG00000008735,MAPK8IP2,DEE,0.8411172443620989,0.1822368945697028,0.9612420992349396,0.5908373896407213,
ENSG00000008838,MED24,DEE,0.9572953191216392,0.9327773392869854,0.2526224972803801,0.722815829479351,0.34887
ENSG00000008853,RHOBTB2,DEE,0.1459170943396215,0.0047194544750472,0.2122077712434227,0.0028379214851971,0.57
ENSG00000008869,HEATR5B,DEE,0.95578350989933,0.3665344492325419,0.5947652997229307,0.7959632910369994,
ENSG00000008952,SEC62,DEE,0.9624398721919428,0.6097341375885104,,0.8744286035103597,
ENSG00000008988,RPS20,DEE,0.0362491486252172,0.0003818031493837,,0.0012939251101793,0.14258
ENSG00000009307,CSDE1,DEE,0.3475289642773916,0.3987189693700179,0.968725017526008,0.6932008541551595,
ENSG00000009335,UBE3C,DEE,0.1177400570318433,0.8908737730545058,0.193964774077542,0.2600115095033462,0.32805
ENSG00000009413,REV3L,DEE,0.0256254426693611,0.17297757666702,0.9039837585845344,0.0732493459917994,0.67916
ENSG00000009724,MASP2,DEE,2.930737284415392e-05,0.747625506003861,0.4494806112796362,0.0004742663769451,
ENSG00000009765,IYD,DEE,0.415995871565154,0.7201560176129085,0.745163426670568,0.8156987861362885,
ENSG00000009780,FAM76A,DEE,0.497752212952819,0.8953377417519318,0.3675560783418297,0.7357971952328131,0.89113
ENSG00000009790,TRAF3IP3,DEE,0.840475029055541,0.5036985791784907,0.4061766247609238,0.7220472500612598,
ENSG00000009830,POMT2,DEE,0.0010917219597724,0.4143909489415187,0.9696848117636258,0.0055072446796269,
ENSG00000009844,VTA1,DEE,0.515838384108843,0.0945215724341712,0.0138521199128044,0.058494446572619,
ENSG00000009950,MLXIPL,DEE,0.073615709329152,0.9853876835605496,0.6528615104272895,0.3338768180646653,0.99111
ENSG00000009954,BAZ1B,DEE,0.6033446742276314,0.4349364216595153,0.9914247419734878,0.8598599507934688,0.93772
ENSG00000010017,RANBP9,DEE,0.9314753951671956,0.3792543978982153,0.8474539862992736,0.831192672158753,0.53719
ENSG00000010030,ETV7,DEE,0.7688314292227756,0.3482302224184166,0.9992834613417976,0.8087347738262677,
ENSG00000010072,SPRTN,DEE,0.2514114998763684,0.8669300009377524,0.1562232014353282,0.3533287025305749,0.93843
ENSG00000010219,DYRK4,DEE,0.9254174528644484,0.6107896165231367,0.768974955608632,0.946495646008375,
ENSG00000010244,ZNF207,DEE,0.2507621591225626,0.6592194594378495,0.8374984710185804,0.7096586157413177,
ENSG00000010256,UQCRC1,DEE,0.0653252637812607,0.2047173015803406,0.4153619792053177,0.1700062170291473,
ENSG00000010270,STARD3NL,DEE,0.9230635262733992,0.9175786650346558,0.9249496516914206,0.9988370427665648,
ENSG00000010278,CD9,DEE,0.6195338843777072,0.5234125152378266,0.7079189443309446,0.8672285407297738,
ENSG00000010282,HHATL,DEE,0.768625585833289,0.5504659579449624,0.5133908021692372,0.8477290558465581,
ENSG00000010292,NCAPD2,DEE,0.6830361940732129,0.1082483664383176,0.6349586571021437,0.4028735802053919,
ENSG00000010295,IFFO1,DEE,0.5959964153368915,0.7102367556352931,0.5523029726947264,0.874728553311581,
ENSG00000010310,GIPR,DEE,0.0545501590078005,0.7915753885329043,0.0312037524263153,0.0537974109189147,
ENSG00000010318,PHF7,DEE,0.8289261114579218,0.8046592485813195,0.3861225952026986,0.8473713607567566,
ENSG00000010319,SEMA3G,DEE,0.8743922153596473,0.1532295906968661,0.5823856768494908,0.4910719983024334,
ENSG00000010322,NISCH,DEE,0.8036726997543162,0.6197455907634667,0.9877851863229984,0.9579432434036426,
ENSG00000010327,STAB1,DEE,0.2852120302342906,0.6097938510073383,0.6300559596842668,0.6536382585204306,
ENSG00000010361,FUZ,DEE,0.2847182882288732,0.1551195179825144,0.8629656586314839,0.3747043400414699,
ENSG00000010379,SLC6A13,DEE,0.716774530247872,0.1240683983038696,0.9574045334612724,0.442437566901099,
